Price,Close,High,Low,Open,Volume
Ticker,TNXP,TNXP,TNXP,TNXP,TNXP
Date,,,,,
2022-05-25,39800.0,41200.0,38400.0,40200.0,123
2022-05-26,41200.0,42200.0,38200.0,39200.0,111
2022-05-27,44800.0,46200.0,39600.0,41000.0,133
2022-05-31,48800.0,51000.0,43000.0,43000.0,491
2022-06-01,63000.0,95800.0,61200.0,71200.0,8147
2022-06-02,56000.0,61000.0,53400.0,61000.0,1266
2022-06-03,49400.0,57400.0,48200.0,57200.0,760
2022-06-06,46000.0,49800.0,44200.0,49600.0,415
2022-06-07,44600.0,48400.0,44000.0,44800.0,331
2022-06-08,45400.0,47400.0,44000.0,45400.0,384
2022-06-09,42200.0,47000.0,41200.0,45000.0,351
2022-06-10,38600.0,41400.0,38400.0,41400.0,187
2022-06-13,35400.0,36400.0,32600.0,34200.0,186
2022-06-14,36800.0,38400.0,34200.0,34800.0,227
2022-06-15,35600.0,37200.0,34800.0,37000.0,113
2022-06-16,33800.0,35000.0,33200.0,34600.0,109
2022-06-17,35400.0,37000.0,33200.0,33800.0,128
2022-06-21,36800.0,37600.0,35400.0,36400.0,120
2022-06-22,38200.0,39000.0,35400.0,35800.0,131
2022-06-23,39800.0,41400.0,38400.0,38800.0,189
2022-06-24,37400.0,40200.0,37200.0,39600.0,238
2022-06-27,35400.0,36600.0,34600.0,36000.0,163
2022-06-28,33800.0,35600.0,33000.0,35400.0,146
2022-06-29,33200.0,35000.0,32400.0,34200.0,222
2022-06-30,31600.0,32400.0,30600.0,32000.0,116
2022-07-01,32200.0,33200.0,31000.0,31400.0,132
2022-07-05,33400.0,34600.0,31800.0,32600.0,150
2022-07-06,31600.0,33600.0,31000.0,33400.0,209
2022-07-07,32800.0,33600.0,31600.0,32000.0,114
2022-07-08,33400.0,34000.0,32400.0,32800.0,80
2022-07-11,30400.0,34200.0,30400.0,33600.0,105
2022-07-12,28000.0,31000.0,27600.0,30400.0,168
2022-07-13,27000.0,27800.0,26400.0,26800.0,105
2022-07-14,25600.0,26400.0,25200.0,26200.0,66
2022-07-15,25400.0,26400.0,24800.0,25400.0,84
2022-07-18,25000.0,26200.0,25000.0,25600.0,64
2022-07-19,26000.0,26600.0,24800.0,25000.0,118
2022-07-20,27000.0,28200.0,25800.0,25800.0,88
2022-07-21,26200.0,27200.0,25800.0,27200.0,58
2022-07-22,23800.0,25800.0,23800.0,25600.0,116
2022-07-25,34600.0,37800.0,25200.0,26200.0,2687
2022-07-26,33800.0,41600.0,30800.0,31600.0,2850
2022-07-27,32000.0,35800.0,31400.0,33600.0,944
2022-07-28,37400.0,37800.0,32400.0,33800.0,1420
2022-07-29,33600.0,44800.0,33200.0,36800.0,1842
2022-08-01,37200.0,42800.0,37000.0,40800.0,1260
2022-08-02,38000.0,40800.0,35600.0,38000.0,830
2022-08-03,35400.0,38800.0,34600.0,37400.0,665
2022-08-04,36000.0,37800.0,33400.0,34200.0,1202
2022-08-05,31600.0,35600.0,31200.0,33800.0,662
2022-08-08,30400.0,33000.0,29400.0,32400.0,307
2022-08-09,28000.0,30000.0,27400.0,28800.0,296
2022-08-10,28200.0,29600.0,27800.0,28000.0,192
2022-08-11,27400.0,29600.0,27400.0,28400.0,288
2022-08-12,28000.0,28600.0,27200.0,27800.0,135
2022-08-15,31800.0,33000.0,27800.0,28000.0,436
2022-08-16,29600.0,31400.0,28600.0,31000.0,184
2022-08-17,29200.0,29600.0,28400.0,29000.0,209
2022-08-18,28000.0,29600.0,27600.0,29600.0,135
2022-08-19,26000.0,27800.0,26000.0,27600.0,137
2022-08-22,26000.0,26800.0,25000.0,25200.0,125
2022-08-23,25200.0,26600.0,25200.0,25600.0,75
2022-08-24,25800.0,26600.0,25200.0,25400.0,88
2022-08-25,24000.0,26200.0,24000.0,26000.0,177
2022-08-26,22200.0,24400.0,21800.0,24200.0,184
2022-08-29,20400.0,20800.0,19800.0,20200.0,230
2022-08-30,20400.0,20600.0,19600.0,20400.0,137
2022-08-31,20400.0,20400.0,20000.0,20200.0,83
2022-09-01,19600.0,20000.0,18800.0,20000.0,163
2022-09-02,19800.0,20400.0,19200.0,19400.0,84
2022-09-06,18200.0,19800.0,18000.0,19600.0,147
2022-09-07,18200.0,18400.0,17400.0,18000.0,116
2022-09-08,20600.0,20800.0,18000.0,18000.0,138
2022-09-09,20200.0,21400.0,19800.0,20000.0,185
2022-09-12,19400.0,20800.0,18800.0,20000.0,205
2022-09-13,18400.0,19400.0,18200.0,19400.0,154
2022-09-14,18000.0,18800.0,18000.0,18200.0,99
2022-09-15,17200.0,18600.0,17200.0,18000.0,121
2022-09-16,15800.0,17400.0,15800.0,17000.0,150
2022-09-19,14200.0,15800.0,13800.0,15600.0,278
2022-09-20,13000.0,14000.0,13000.0,13800.0,148
2022-09-21,12800.0,13400.0,12400.0,13000.0,128
2022-09-22,11400.0,12600.0,11200.0,12600.0,237
2022-09-23,11000.0,11400.0,10800.0,11400.0,142
2022-09-26,10600.0,11400.0,10400.0,10800.0,138
2022-09-27,10800.0,11000.0,10400.0,10800.0,63
2022-09-28,11200.0,11400.0,10400.0,10400.0,115
2022-09-29,10600.0,11200.0,10400.0,11200.0,84
2022-09-30,10600.0,11200.0,10400.0,10600.0,69
2022-10-03,11000.0,12400.0,10800.0,11000.0,167
2022-10-04,11400.0,11600.0,11000.0,11400.0,94
2022-10-05,11400.0,11400.0,11200.0,11400.0,39
2022-10-06,11000.0,11400.0,10800.0,11200.0,65
2022-10-07,10200.0,11200.0,10200.0,11000.0,46
2022-10-10,10000.0,10200.0,9800.0,10000.0,66
2022-10-11,9800.0,10400.0,9800.0,9800.0,38
2022-10-12,10000.0,10200.0,9800.0,10000.0,37
2022-10-13,9800.0,9800.0,9400.0,9800.0,59
2022-10-14,9600.0,10200.0,9400.0,10000.0,53
2022-10-17,10200.0,10200.0,9600.0,9800.0,61
2022-10-18,10200.0,10600.0,10000.0,10400.0,46
2022-10-19,10000.0,10200.0,10000.0,10200.0,36
2022-10-20,10200.0,10800.0,9800.0,10000.0,51
2022-10-21,10400.0,10400.0,10000.0,10200.0,46
2022-10-24,9800.0,10600.0,9800.0,10400.0,50
2022-10-25,10000.0,10400.0,9800.0,10000.0,82
